model,site,layer,method,b,requested_k,realized_k,dc_slots,anchor_error,permutation_energy_rows
llama31_8b,down,0,nar_b128_k64,128,64,64,112,4.172325134277344e-07,8192
llama31_8b,down,1,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,2,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,3,nar_b128_k64,128,64,64,112,5.364418029785156e-07,8192
llama31_8b,down,4,nar_b128_k64,128,64,64,112,4.172325134277344e-07,8192
llama31_8b,down,5,nar_b128_k64,128,64,64,112,4.76837158203125e-07,8192
llama31_8b,down,6,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,7,nar_b128_k64,128,64,64,112,2.980232238769531e-07,8192
llama31_8b,down,8,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,9,nar_b128_k64,128,64,64,112,4.76837158203125e-07,8192
llama31_8b,down,10,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,11,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,12,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,13,nar_b128_k64,128,64,64,112,2.980232238769531e-07,8192
llama31_8b,down,14,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,15,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,16,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,17,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,18,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,19,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,20,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,21,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,22,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,23,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,24,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,25,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,26,nar_b128_k64,128,64,64,112,2.980232238769531e-07,8192
llama31_8b,down,27,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,28,nar_b128_k64,128,64,64,112,3.5762786865234375e-07,8192
llama31_8b,down,29,nar_b128_k64,128,64,64,112,2.384185791015625e-07,8192
llama31_8b,down,30,nar_b128_k64,128,64,64,112,2.980232238769531e-07,8192
llama31_8b,down,31,nar_b128_k64,128,64,64,112,4.76837158203125e-07,8192
llama31_8b,qkv,0,nar_b128_k64,128,64,32,32,2.980232238769531e-07,8192
llama31_8b,qkv,1,nar_b128_k64,128,64,32,32,2.384185791015625e-07,8192
llama31_8b,qkv,2,nar_b128_k64,128,64,32,32,2.980232238769531e-07,8192
llama31_8b,qkv,3,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,4,nar_b128_k64,128,64,32,32,2.384185791015625e-07,8192
llama31_8b,qkv,5,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,6,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,7,nar_b128_k64,128,64,32,32,2.980232238769531e-07,8192
llama31_8b,qkv,8,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,9,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,10,nar_b128_k64,128,64,32,32,2.980232238769531e-07,8192
llama31_8b,qkv,11,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,12,nar_b128_k64,128,64,32,32,2.980232238769531e-07,8192
llama31_8b,qkv,13,nar_b128_k64,128,64,32,32,2.384185791015625e-07,8192
llama31_8b,qkv,14,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,15,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,16,nar_b128_k64,128,64,32,32,2.384185791015625e-07,8192
llama31_8b,qkv,17,nar_b128_k64,128,64,32,32,2.384185791015625e-07,8192
llama31_8b,qkv,18,nar_b128_k64,128,64,32,32,4.172325134277344e-07,8192
llama31_8b,qkv,19,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,20,nar_b128_k64,128,64,32,32,4.76837158203125e-07,8192
llama31_8b,qkv,21,nar_b128_k64,128,64,32,32,4.76837158203125e-07,8192
llama31_8b,qkv,22,nar_b128_k64,128,64,32,32,4.172325134277344e-07,8192
llama31_8b,qkv,23,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
llama31_8b,qkv,24,nar_b128_k64,128,64,32,32,2.384185791015625e-07,8192
llama31_8b,qkv,25,nar_b128_k64,128,64,32,32,2.384185791015625e-07,8192
llama31_8b,qkv,26,nar_b128_k64,128,64,32,32,2.384185791015625e-07,8192
llama31_8b,qkv,27,nar_b128_k64,128,64,32,32,2.384185791015625e-07,8192
llama31_8b,qkv,28,nar_b128_k64,128,64,32,32,2.980232238769531e-07,8192
llama31_8b,qkv,29,nar_b128_k64,128,64,32,32,2.980232238769531e-07,8192
llama31_8b,qkv,30,nar_b128_k64,128,64,32,32,2.980232238769531e-07,8192
llama31_8b,qkv,31,nar_b128_k64,128,64,32,32,3.5762786865234375e-07,8192
