model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,hadamard_g128_asym,20260902,5,1.328554630279541,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,6,1.359544277191162,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,7,1.716264009475708,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,8,2.0315568447113037,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,9,1.849651575088501,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,10,1.7475495338439941,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,11,2.0789241790771484,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,12,1.9753870964050293,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,13,2.0861823558807373,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,14,2.0030415058135986,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,15,2.2297427654266357,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,16,1.9486446380615234,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,17,1.936142086982727,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,18,1.5911222696304321,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,19,1.8733938932418823,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,20,1.9949325323104858,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,21,1.9653674364089966,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,22,1.9597363471984863,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,23,2.014033317565918,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,24,2.073239803314209,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,25,2.1895995140075684,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,26,2.2602994441986084,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,27,2.0911505222320557,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,28,1.7952498197555542,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,29,1.622620940208435,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,30,1.4603856801986694,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,31,1.4768873453140259,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,32,1.8361800909042358,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,33,1.8177050352096558,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,34,1.961521029472351,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,35,1.3148314952850342,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,36,1.3161872625350952,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,37,1.3180800676345825,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,38,1.309782862663269,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,39,1.5329638719558716,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,40,2.0706112384796143,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,41,2.5419976711273193,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,42,2.5360512733459473,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,43,2.0590059757232666,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,44,2.0553641319274902,2047,reused_verbatim_from_e5,0.002829507924616337
