model,k,tokens,backend,config,splits,projection_ms
llama31_8b,8,1,v2_triton_fp32,-,32,0.013164740918135201
llama31_8b,8,1,triton_dot_2term,T16_D64_S1_w4_s4,1,0.06977523936140806
llama31_8b,8,1,triton_dot_2term,T16_D128_S1_w4_s4,1,0.04772540518325997
llama31_8b,8,1,triton_dot_2term,T16_D256_S1_w8_s3,1,0.06636612228411626
llama31_8b,8,1,triton_dot_2term,T32_D64_S1_w4_s4,1,0.07024396102100906
llama31_8b,8,1,triton_dot_2term,T32_D128_S1_w8_s3,1,0.07426418099430405
llama31_8b,8,1,triton_dot_2term,T32_D256_S1_w8_s3,1,0.06845202045561058
llama31_8b,8,1,triton_dot_2term,T64_D64_S1_w8_s3,1,0.11205234751105309
llama31_8b,8,1,triton_dot_2term,T64_D128_S1_w8_s3,1,0.07573411679720576
llama31_8b,8,32,v2_triton_fp32,-,32,0.014569007508732655
llama31_8b,8,32,triton_dot_2term,T16_D64_S1_w4_s4,1,0.07136403141934194
llama31_8b,8,32,triton_dot_2term,T16_D128_S1_w4_s4,1,0.049208559751779714
llama31_8b,8,32,triton_dot_2term,T16_D256_S1_w8_s3,1,0.06770645912464072
llama31_8b,8,32,triton_dot_2term,T32_D64_S1_w4_s4,1,0.07193950141098962
llama31_8b,8,32,triton_dot_2term,T32_D128_S1_w8_s3,1,0.07628872913273076
llama31_8b,8,32,triton_dot_2term,T32_D256_S1_w8_s3,1,0.06874450826790275
llama31_8b,8,32,triton_dot_2term,T64_D64_S1_w8_s3,1,0.11238464818610622
llama31_8b,8,32,triton_dot_2term,T64_D128_S1_w8_s3,1,0.0765058430312555
llama31_8b,8,2048,v2_triton_fp32,-,2,0.1270523008197795
llama31_8b,8,2048,triton_dot_2term,T16_D64_S1_w4_s4,1,0.0973189945086109
llama31_8b,8,2048,triton_dot_2term,T16_D128_S1_w4_s4,1,0.07754858625584869
llama31_8b,8,2048,triton_dot_2term,T16_D256_S1_w8_s3,1,0.08224425164325802
llama31_8b,8,2048,triton_dot_2term,T32_D64_S1_w4_s4,1,0.09889752983815911
llama31_8b,8,2048,triton_dot_2term,T32_D128_S1_w8_s3,1,0.09463590862630289
llama31_8b,8,2048,triton_dot_2term,T32_D256_S1_w8_s3,1,0.08047607713020764
llama31_8b,8,2048,triton_dot_2term,T64_D64_S1_w8_s3,1,0.12532375954579764
llama31_8b,8,2048,triton_dot_2term,T64_D128_S1_w8_s3,1,0.0968423961945202
llama31_8b,32,1,v2_triton_fp32,-,32,0.027086418920855514
llama31_8b,32,1,cublas_fp32out_3term,-,1,0.03919599107262486
llama31_8b,32,32,v2_triton_fp32,-,32,0.029574122526030804
llama31_8b,32,32,cublas_fp32out_3term,-,1,0.04950697849065194
llama31_8b,32,2048,v2_triton_fp32,-,2,0.3312496400460964
llama31_8b,32,2048,cublas_fp32out_3term,-,1,0.14589058701506633
