model,row,seeds,seeds_used,ppl_mean,ppl_std,paired_ppl_delta_vs_hadamard,paired_delta_std,paired_ppl_ci90_low,paired_ppl_ci90_high,excludes_zero,per_seed_delta
llama31_8b,hadamard_asym_g128,3,"[0, 1, 2]",7.233545209502153,0.03470514338044535,0.0,0.0,0.0,0.0,False,"{'0': 0.0, '1': 0.0, '2': 0.0}"
llama31_8b,nar_k8_asym_g128,3,"[0, 1, 2]",6.959498819594835,0.026282002033180606,-0.2740463899073185,0.055671266257814205,-0.3679000424690584,-0.1801927373455786,True,"{'0': -0.21654299022256218, '1': -0.27791216691629916, '2': -0.3276840125830942}"
llama31_8b,nar_kmax_asym_g128,3,"[0, 1, 2]",6.920522056747047,0.007594467137168043,-0.31302315275510545,0.036224594714069754,-0.37409254734619635,-0.25195375816401455,True,"{'0': -0.2917119751197417, '1': -0.2925082981520708, '2': -0.3548491849935038}"
