model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,nar_b128_k64,20260902,43,2.0380940437316895,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,44,2.0527331829071045,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,45,2.1004841327667236,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,46,2.1869988441467285,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,47,2.034311294555664,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,48,1.8278549909591675,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,49,1.8497531414031982,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,50,1.532589316368103,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,51,1.6701089143753052,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,52,1.5177780389785767,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,53,1.7198028564453125,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,54,1.4498518705368042,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,55,1.4297600984573364,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,56,1.4871479272842407,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,57,1.6394821405410767,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,58,1.9460721015930176,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,59,2.164470672607422,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,60,2.181753396987915,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,61,2.296269416809082,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,62,1.2744030952453613,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,63,1.7354354858398438,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260903,0,1.5791945457458496,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,1,2.2138290405273438,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,2,2.280473232269287,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,3,1.8506323099136353,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,4,1.7259052991867065,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,5,1.3081138134002686,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,6,1.3350778818130493,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,7,1.7122461795806885,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,8,2.016979694366455,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,9,1.8408973217010498,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,10,1.7457326650619507,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,11,2.0705950260162354,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,12,1.9676263332366943,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,13,2.082412004470825,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,14,1.9985401630401611,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,15,2.228121042251587,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
