method,seed,site,max_relative_error
identity,20260902,qkv,0.0
identity,20260902,down,0.0
hadamard,20260902,qkv,0.002829507924616337
hadamard,20260902,down,0.0021251095458865166
hadamard,20260903,qkv,0.00265508727170527
hadamard,20260903,down,0.00219321227632463
hadamard,20260904,qkv,0.0030748900026082993
hadamard,20260904,down,0.0022393655963242054
nar,20260902,qkv,0.0024750870652496815
nar,20260902,down,0.0024246983230113983
nar,20260903,qkv,0.002456448972225189
nar,20260903,down,0.0024860042612999678
nar,20260904,qkv,0.0025407595094293356
nar,20260904,down,0.0022521528881043196
