model,row,site,group,m,slots,effective_bits,mean_captured_fraction,min_captured_fraction,max_captured_fraction,predicted_range_reduction
llama31_8b,hadamard_g256_m2,qkv,256,2,0,4.1875,0.0027555982560443226,0.0010515060275793076,0.007567917928099632,0.0013787496032563462
llama31_8b,hadamard_g256_m2,down,256,2,0,4.1875,0.001896713507903769,9.445022442378104e-06,0.0051152873784303665,0.0009488068711912545
llama31_8b,hadamard_g256_m3,qkv,256,3,0,4.25,0.006009962882671971,0.0023322484921664,0.03200804442167282,0.0030095100166059874
llama31_8b,hadamard_g256_m3,down,256,3,0,4.25,0.0028102074392677423,2.267875061079394e-05,0.007889826782047749,0.0014060922673660992
llama31_8b,nar_g64_m1,qkv,64,1,64,4.5,0.5098849581554532,0.4407549500465393,0.8173797130584717,0.2999178320764435
llama31_8b,nar_g64_m1,down,64,1,224,4.5,0.30224702786654234,0.206007182598114,0.9916452169418335,0.16468390885039352
llama31_8b,nar_g128_m1,qkv,128,1,32,4.25,0.4394564302638173,0.3779720664024353,0.7322235107421875,0.25130542292855984
llama31_8b,nar_g128_m1,down,128,1,112,4.25,0.302247017621994,0.206007182598114,0.9916452169418335,0.16468390271825484
llama31_8b,nar_g256_m1,qkv,256,1,16,4.125,0.36447639018297195,0.3044350743293762,0.6442468166351318,0.20280265315479884
llama31_8b,nar_g256_m1,down,256,1,56,4.125,0.2638797746039927,0.16814787685871124,0.9912903904914856,0.1420255100552189
llama31_8b,nar_g256_m2,qkv,256,2,32,4.1875,0.43945643678307533,0.3779721260070801,0.7322235703468323,0.25130542728230987
llama31_8b,nar_g256_m2,down,256,2,112,4.1875,0.3022470250725746,0.206007182598114,0.9916452169418335,0.16468390717799208
llama31_8b,nar_g256_m3,qkv,256,3,48,4.25,0.4820061903446913,0.4149090647697449,0.7850072383880615,0.2802821319049327
llama31_8b,nar_g256_m3,down,256,3,168,4.25,0.30224701343104243,0.206007182598114,0.9916452169418335,0.16468390020965262
llama31_8b,nar_g128_m2,qkv,128,2,64,4.375,0.5098849460482597,0.4407549500465393,0.8173797130584717,0.29991782342946316
llama31_8b,nar_g128_m2,down,128,2,224,4.375,0.3022470148280263,0.206007182598114,0.9916452169418335,0.1646839010458534
