model,method,site,layer,k,anchor_error,selected_numerical_rank,null_completion_directions,permutation_identical_to_A,factor_sha256
llama31_8b,B_top1,down,0,112,2.980232238769531e-07,1,111,True,0c2a38e824e13801b1982d91a7cabc30317d18f9a9253f383dcfe28b6a5093fe
llama31_8b,B_top1_no_bos,down,0,112,3.5762786865234375e-07,128,0,True,1239710e0b9054172950e69da2ff9fb63362b9a707979a997673e86ce6516688
llama31_8b,C_top1pct,down,0,112,2.980232238769531e-07,-1,0,True,2025074ce7a0e51bc122cc68bfbf9f6673b0b9894c4b8ca9b9dae3a7e6e04f28
llama31_8b,C_top1pct_no_bos,down,0,112,3.5762786865234375e-07,-1,0,True,39ee89cf72957c853654cce680627834ec1b6b5f3233104b74e9c96f852d01ea
llama31_8b,B_top1,down,1,112,2.980232238769531e-07,1,111,True,90d9ca5cff88cee8e6a8b5264c32f33734d5d41d1817ba395aa6d3a9bd604530
llama31_8b,B_top1_no_bos,down,1,112,3.5762786865234375e-07,126,0,True,0b4516e880662fc0147dc6240f11942fada127d983a4534b1186e18973c8206b
llama31_8b,C_top1pct,down,1,112,3.5762786865234375e-07,-1,0,True,d8e90591dc5c0e562a310f25ed05d6dc433db5fe3c15f05cb1d67929fcfeb3f4
llama31_8b,C_top1pct_no_bos,down,1,112,3.5762786865234375e-07,-1,0,True,f364844539824a07aec5a3bbf269eb6d663d753b14968324e1154400fd74f9f8
llama31_8b,B_top1,down,2,112,2.980232238769531e-07,128,0,True,8a9f5c6d00d7f2ee4cd1932f7fd890eac41eef7d489a8425419ed70f7d3cd309
llama31_8b,B_top1_no_bos,down,2,112,2.980232238769531e-07,128,0,True,a646d4bded55c34ea36c96c9e9443f29d58d64eea4486f994d5472257ccdc842
llama31_8b,C_top1pct,down,2,112,3.5762786865234375e-07,-1,0,True,1e84b59395bd0808c0c74f2a0ccafc7f7c3bdd925316e2b111e7d1f8f9a1a10a
llama31_8b,C_top1pct_no_bos,down,2,112,3.5762786865234375e-07,-1,0,True,edac18958d0a628c29b481e72210abee9a741750549340c215d083891e966b9a
llama31_8b,B_top1,down,3,112,3.5762786865234375e-07,128,0,True,77d3d3cd1922fdd116a92c976aacde1a879cdb5962af0f0c945f65ed861e6fc7
llama31_8b,B_top1_no_bos,down,3,112,3.5762786865234375e-07,128,0,True,ae6a5696a8ea54fad0f4c9f8a1ac1c9ec1f588deee4600464cc1fc96df069482
llama31_8b,C_top1pct,down,3,112,2.980232238769531e-07,-1,0,True,dc378f7f99016cb5593bb846342b7f768cd5872a6eafd3d48b2f7a127942da77
llama31_8b,C_top1pct_no_bos,down,3,112,3.5762786865234375e-07,-1,0,True,76910056460105696a5688b788c9936a1cb538dc3aa358e7f35128f4bcf86f48
llama31_8b,B_top1,down,4,112,2.980232238769531e-07,127,0,True,55d7717d673a59e24750ef92d23c3a06f7c8c150e2cd22c6a583948992cae770
llama31_8b,B_top1_no_bos,down,4,112,2.980232238769531e-07,127,0,True,15b7d967f8d10a9be9133ba5c3da9d20eb6e0b7b3ad4acd27ffdb407d141d8d9
llama31_8b,C_top1pct,down,4,112,2.980232238769531e-07,-1,0,True,e847a7def584daa05ebd6262f59aba66988e27b9ba901e57f7dfbd7b932be04f
llama31_8b,C_top1pct_no_bos,down,4,112,2.384185791015625e-07,-1,0,True,90ea7bed2c4a2aa1f10032b940bc93b378ec217d4dd038938820c5f0e2f9ce5e
llama31_8b,B_top1,down,5,112,3.5762786865234375e-07,128,0,True,7eb76257d729ae35f22145f1cb5253f8e4c9b7a60564b83eb0740b64baad6a5f
llama31_8b,B_top1_no_bos,down,5,112,3.5762786865234375e-07,128,0,True,500c22f99d3cc794778e02e45d4433e3110fb8f72389f6f10cc6ed7a75d8965a
llama31_8b,C_top1pct,down,5,112,3.5762786865234375e-07,-1,0,True,7c0112d930d9fad331677b0ff2d0d1bb29e2b47e676a0ca3ba7864ef624fe517
llama31_8b,C_top1pct_no_bos,down,5,112,3.5762786865234375e-07,-1,0,True,f2ab62e418b99c70168e16ac6e23fb555bb6334948ea6517b9841f26a7c775d0
llama31_8b,B_top1,down,6,112,3.5762786865234375e-07,128,0,True,d216b282febb4534fc54c7978523c38b26376ef4c253f542506d23dbad297cbf
llama31_8b,B_top1_no_bos,down,6,112,3.5762786865234375e-07,128,0,True,b1c7db47a3eda8036fe0b10dd28f828f6d962a4199c2f9688b2be5b0b8d3c055
llama31_8b,C_top1pct,down,6,112,3.5762786865234375e-07,-1,0,True,25694ff0b2b5aa981a6d295f2bfbd6039ef8495a8c6861269439137c499ae500
