layer,expert,module,routed_tokens,pooled_hessian,relative_weight_error,hessian_diag_max_over_median
25,0,gate_up,9676,False,0.11988843977451324,9.222987633319653
25,1,gate_up,5832,False,0.12496517598628998,7.221375096772021
25,2,gate_up,47063,False,0.11392130702733994,10.426249339150607
25,3,gate_up,0,True,0.11306101083755493,9.15976166364496
25,4,gate_up,12459,False,0.1203579232096672,10.260717692094127
25,5,gate_up,17,True,0.1130324974656105,9.15976166364496
25,6,gate_up,33163,False,0.11346428841352463,10.132257224341178
25,7,gate_up,37,True,0.113442063331604,9.15976166364496
25,8,gate_up,13513,False,0.1182468831539154,10.975649764823947
25,9,gate_up,2,True,0.1131536066532135,9.15976166364496
25,10,gate_up,103926,False,0.1137692779302597,9.604263103019907
25,11,gate_up,404,True,0.11352179199457169,9.15976166364496
25,12,gate_up,18436,False,0.1170978993177414,8.965596566992856
25,13,gate_up,1858,False,0.1414071023464203,11.383741950367584
25,14,gate_up,66,True,0.11345374584197998,9.15976166364496
25,15,gate_up,25916,False,0.11366503685712814,11.045320009618848
25,16,gate_up,19091,False,0.11527761071920395,10.668720720926109
25,17,gate_up,87,True,0.1131402924656868,9.15976166364496
25,18,gate_up,28518,False,0.11527301371097565,10.063558283600003
25,19,gate_up,5955,False,0.11841168254613876,10.745657158911019
25,20,gate_up,13617,False,0.12108063697814941,9.524293078656646
25,21,gate_up,29250,False,0.11494029313325882,9.594873064659621
25,22,gate_up,0,True,0.11315499246120453,9.15976166364496
25,23,gate_up,6843,False,0.11906255781650543,11.972284983557527
25,24,gate_up,26859,False,0.11608905345201492,9.002908963921964
25,25,gate_up,3368,False,0.13149340450763702,8.99376041224966
25,26,gate_up,14373,False,0.11719217151403427,9.864895322351288
25,27,gate_up,1616,False,0.14491583406925201,9.337274558115613
25,28,gate_up,26645,False,0.11361576616764069,10.79287137795097
25,29,gate_up,1035,False,0.1427544355392456,9.74287497072733
25,30,gate_up,68,True,0.11337452381849289,9.15976166364496
25,31,gate_up,5368,False,0.12416905164718628,11.239755681180265
25,32,gate_up,6021,False,0.12075730413198471,10.437086392881083
25,33,gate_up,9709,False,0.1183929517865181,9.892981337410438
25,34,gate_up,2158,False,0.13822007179260254,11.012912316716559
25,35,gate_up,2240,False,0.14001303911209106,11.2278572050832
25,36,gate_up,15411,False,0.1168251559138298,9.001654485489263
25,37,gate_up,145,True,0.11339675635099411,9.15976166364496
25,38,gate_up,5673,False,0.12403163313865662,12.020912456781373
25,39,gate_up,6,True,0.11317247152328491,9.15976166364496
25,40,gate_up,84943,False,0.11406373977661133,9.246864933197495
25,41,gate_up,23122,False,0.1157972663640976,9.165897789585035
25,42,gate_up,5470,False,0.12398982048034668,9.65702847520027
25,43,gate_up,262,True,0.11365322768688202,9.15976166364496
25,44,gate_up,35945,False,0.11501376330852509,9.414188163452344
