layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,symmetric,cholesky_float64,hessian_dtype,product_dtype,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
22,0,self_attn.k_proj,2048,512,128,0,40.959625244140625,128,128,False,False,False,torch.float32,torch.float32,7.4640230162985395,1.3998096492971441,0.013998096492971441,0.007229350777159268,0.0078125,0.34526537809388924,7.5464198176314605,512,0.7822460532188416,0.0077612451277673244,nan
22,0,self_attn.v_proj,2048,512,128,0,40.959625244140625,128,128,False,False,False,torch.float32,torch.float32,7.4640230162985395,1.3998096492971441,0.013998096492971441,0.007229350777159268,0.0078125,0.34526537809388924,7.5464198176314605,512,0.7837694883346558,0.007743137422949076,nan
22,0,self_attn.q_proj,2048,4096,128,0,40.959625244140625,128,128,False,False,False,torch.float32,torch.float32,7.4640230162985395,1.3998096492971441,0.013998096492971441,0.007229350777159268,0.0078125,0.34526537809388924,7.5464198176314605,4096,0.7844140529632568,0.0076776957139372826,nan
22,1,self_attn.o_proj,4096,2048,128,0,0.05901490896940231,128,128,False,False,False,torch.float32,torch.float32,6.4682209977389675,1.18845119939588,0.011884511993958801,0.007982311377352435,0.0078125,0.04154177262166052,59.390092114069034,2048,0.7346240282058716,0.007677935063838959,nan
23,0,self_attn.k_proj,2048,512,128,0,40.95966339111328,128,128,False,False,False,torch.float32,torch.float32,8.10628908368959,1.4343238417506243,0.014343238417506244,0.007280720680323475,0.0078125,0.355278791694239,6.727997656054247,512,0.7837304472923279,0.00826308224350214,nan
23,0,self_attn.v_proj,2048,512,128,0,40.95966339111328,128,128,False,False,False,torch.float32,torch.float32,8.10628908368959,1.4343238417506243,0.014343238417506244,0.007280720680323475,0.0078125,0.355278791694239,6.727997656054247,512,0.7826172113418579,0.007884053513407707,nan
23,0,self_attn.q_proj,2048,4096,128,0,40.95966339111328,128,128,False,False,False,torch.float32,torch.float32,8.10628908368959,1.4343238417506243,0.014343238417506244,0.007280720680323475,0.0078125,0.355278791694239,6.727997656054247,4096,0.7825049161911011,0.007951196283102036,nan
23,1,self_attn.o_proj,4096,2048,128,0,0.058328934013843536,128,128,False,False,False,torch.float32,torch.float32,7.630788826194915,1.2556835953398988,0.012556835953398989,0.0076657554949681435,0.0078125,0.03459839785753713,73.11402685298273,2048,0.7346533536911011,0.007622759323567152,nan
24,0,self_attn.k_proj,2048,512,128,0,40.959686279296875,128,128,False,False,False,torch.float32,torch.float32,8.408312370168636,1.4577770393978318,0.014577770393978319,0.0074204223119649845,0.0078125,0.3619669277528973,6.352418654420166,512,0.7819921970367432,0.007888032123446465,nan
24,0,self_attn.v_proj,2048,512,128,0,40.959686279296875,128,128,False,False,False,torch.float32,torch.float32,8.408312370168636,1.4577770393978318,0.014577770393978319,0.0074204223119649845,0.0078125,0.3619669277528973,6.352418654420166,512,0.7828711271286011,0.00785495899617672,nan
