layer,expert,module,routed_tokens,pooled_hessian,relative_weight_error,hessian_diag_max_over_median
22,0,gate_up,78,True,0.11387652158737183,8.259756064307044
22,1,gate_up,1493,False,0.1496053785085678,7.167483561440895
22,2,gate_up,20506,False,0.11713740229606628,7.81510711453678
22,3,gate_up,15003,False,0.11941999197006226,7.268925750506797
22,4,gate_up,20595,False,0.11831557005643845,9.596917087489965
22,5,gate_up,4983,False,0.12691304087638855,10.102320190993437
22,6,gate_up,8236,False,0.12154977768659592,9.871982736819605
22,7,gate_up,845,False,0.13821350038051605,8.336234157154104
22,8,gate_up,1962,False,0.14168459177017212,9.21221050187104
22,9,gate_up,21967,False,0.11804376542568207,8.417091125543923
22,10,gate_up,13163,False,0.11978434026241302,7.912154344263497
22,11,gate_up,14,True,0.11359735578298569,8.259756064307044
22,12,gate_up,6778,False,0.1262117177248001,9.687644195107811
22,13,gate_up,24697,False,0.11575561761856079,9.13583844636805
22,14,gate_up,29627,False,0.11496400088071823,9.75160493694298
22,15,gate_up,4991,False,0.12816549837589264,7.661614610670427
22,16,gate_up,25386,False,0.11700274795293808,10.23363343092176
22,17,gate_up,2,True,0.11374012380838394,8.259756064307044
22,18,gate_up,161468,False,0.11404089629650116,9.108904218813379
22,19,gate_up,15206,False,0.11851811408996582,10.015315456115818
22,20,gate_up,2542,False,0.13792107999324799,7.742656366906653
22,21,gate_up,563,False,0.13205653429031372,8.184208926483311
22,22,gate_up,1957,False,0.1464432328939438,7.806465996467924
22,23,gate_up,9271,False,0.12233919650316238,9.096831292153688
22,24,gate_up,42,True,0.11370769143104553,8.259756064307044
22,25,gate_up,81185,False,0.11503030359745026,8.514099759335334
22,26,gate_up,14371,False,0.1201019212603569,8.828109148706679
22,27,gate_up,17749,False,0.11745630949735641,9.499237369517024
22,28,gate_up,258,True,0.11396269500255585,8.259756064307044
22,29,gate_up,944,False,0.1449265033006668,7.833439276672791
22,30,gate_up,74226,False,0.11534105241298676,8.839772787748567
22,31,gate_up,4094,False,0.12698295712471008,9.970391879118388
22,32,gate_up,3265,False,0.13719475269317627,7.5535600658740005
22,33,gate_up,7107,False,0.12352953851222992,7.200484357467426
22,34,gate_up,1530,False,0.14523209631443024,7.8856993053919116
