layer,expert,module,routed_tokens,pooled_hessian,relative_weight_error,hessian_diag_max_over_median
0,0,gate_up,18657,False,0.12198293209075928,13.677764108023599
0,1,gate_up,6947,False,0.10553489625453949,15.083065628407013
0,2,gate_up,13046,False,0.12410589307546616,14.16432930229144
0,3,gate_up,13524,False,0.12462691217660904,9.221151675455296
0,4,gate_up,16810,False,0.12467696517705917,9.557350919560987
0,5,gate_up,100,True,0.10908001661300659,13.039425591571744
0,6,gate_up,6767,False,0.13353735208511353,16.802339247814857
0,7,gate_up,12238,False,0.11931105703115463,14.975961937296539
0,8,gate_up,3718,False,0.10232425481081009,22.51504208187697
0,9,gate_up,5109,False,0.13558170199394226,12.301473888439487
0,10,gate_up,9,True,0.1085716187953949,13.039425591571744
0,11,gate_up,14523,False,0.12177854031324387,16.25101165946761
0,12,gate_up,16812,False,0.1197945699095726,8.97379716830034
0,13,gate_up,19573,False,0.11058934777975082,15.851386197986288
0,14,gate_up,29695,False,0.12082935124635696,16.40463422271872
0,15,gate_up,2,True,0.10925017297267914,13.039425591571744
0,16,gate_up,13165,False,0.10790208727121353,18.513984817005845
0,17,gate_up,9420,False,0.12896490097045898,12.436098695814552
0,18,gate_up,11923,False,0.1292669028043747,12.867861191310567
0,19,gate_up,610,False,0.12128259241580963,13.029867940355091
0,20,gate_up,946,False,0.10127425938844681,28.580077010384734
0,21,gate_up,24384,False,0.12661884725093842,13.969714862159048
0,22,gate_up,6147,False,0.1335844248533249,12.324164284158616
0,23,gate_up,12503,False,0.13425728678703308,10.889587770054883
0,24,gate_up,18277,False,0.12886583805084229,11.249806308507194
0,25,gate_up,429,True,0.10932061821222305,13.039425591571744
0,26,gate_up,11467,False,0.10521119087934494,22.235109273059972
0,27,gate_up,13766,False,0.11182521283626556,20.162777077588082
0,28,gate_up,75627,False,0.10866428911685944,10.628683371325574
0,29,gate_up,24255,False,0.1205013170838356,9.34326161648955
0,30,gate_up,11307,False,0.13153709471225739,12.750447692811594
0,31,gate_up,23369,False,0.10922498255968094,20.09047347823191
0,32,gate_up,9839,False,0.12944641709327698,17.65435773595007
0,33,gate_up,36188,False,0.11260893940925598,11.54634509623758
0,34,gate_up,18037,False,0.1326693743467331,13.051744440244038
0,35,gate_up,8155,False,0.10313552618026733,18.262615976581085
0,36,gate_up,226,True,0.10907566547393799,13.039425591571744
0,37,gate_up,3577,False,0.13404099643230438,13.905952795224115
0,38,gate_up,22033,False,0.12618526816368103,11.472543840620627
0,39,gate_up,199,True,0.10848060995340347,13.039425591571744
0,40,gate_up,18778,False,0.10791186988353729,23.09819010283032
0,41,gate_up,13027,False,0.134230837225914,11.243899917873437
0,42,gate_up,1452,False,0.14027151465415955,11.446895478802368
0,43,gate_up,9760,False,0.10942551493644714,34.2749809045661
